,count,kewword,keep
346,57,Copyright -- United States -- Catalogs,
147,50,"Netherlands -- History -- Eighty Years' War, 1568-1648",
243,41,English fiction -- 19th century,1
408,24,English wit and humor -- Periodicals,
97,20,French essays -- Translations into English,
240,19,"Quotations, French -- Translations into English",
427,19,Ireland -- Social life and customs -- Fiction,
57,18,Crime,
239,17,Quotations,
862,17,Questions and answers -- Periodicals,
274,15,American poetry -- 19th century,
614,15,"Children's literature, American -- Periodicals",
71,14,"Short stories, French -- Translations into English",
113,13,Paris (France) -- Fiction,
235,13,American poetry,
804,13,Free thought,
283,12,English fiction -- 19th century,1
10,11,English language -- Dictionaries,
91,11,Conduct of life,
220,10,Apocryphal books (New Testament),
221,10,Folklore -- United States,
260,10,Bible -- Illustrations,
729,10,Scottish Borders (Scotland) -- Fiction,
130,9,Adventure and adventurers -- Fiction,
157,9,"United States -- History -- Civil War, 1861-1865 -- Fiction",
207,9,Canadian fiction,
600,9,Questions and answers -- Periodicals,
128,8,English fiction -- 19th century,1
131,8,English fiction -- 19th century,1
133,8,English fiction -- 19th century,1
216,8,Fiction,
244,8,English fiction -- 19th century,
245,8,Brigands and robbers -- Fiction,
890,8,English wit and humor -- Periodicals,
86,7,American wit and humor,
156,7,Fiction,
185,7,"Ebers, Georg, 1837-1898",
210,7,Canadian fiction,
211,7,Society of Friends -- Fiction,
215,7,Canadian fiction -- 20th century,
242,7,"Great Britain -- History -- Anne, 1702-1714 -- Fiction",
251,7,England -- Social life and customs -- 19th century -- Fiction,
289,7,American wit and humor -- Periodicals,
335,7,Popular literature -- Great Britain -- Periodicals,
567,7,United States -- Social life and customs -- 19th century -- Fiction,1
593,7,Russian drama -- Translations into English,
112,6,French fiction -- Translations into English,
151,6,England -- Drama,1
186,6,Caricatures and cartoons -- Great Britain,
194,6,Athens (Greece) -- History,
214,6,Québec (Province) -- Fiction,
238,6,Quotations,
241,6,"Aram, Eugene, 1704-1759 -- Fiction",
271,6,Physicians -- Fiction,
276,6,American poetry -- 19th century,
282,6,English fiction,
305,6,Rome -- History,
328,6,Popular literature -- Great Britain -- Periodicals,
350,6,France -- History,
506,6,Fiction,
573,6,"Children's literature, American -- Periodicals",
578,6,"Short stories, Canadian",
580,6,"Children's literature, American -- Periodicals",
725,6,Paris (France) -- Fiction,
836,6,"Children's literature, American -- Periodicals",
851,6,Questions and answers -- Periodicals,
853,6,"Children's literature, American -- Periodicals",
78,5,Words and phrase lists -- English,
107,5,Paris (France) -- Fiction,
114,5,French fiction -- Translations into English,
115,5,Japan -- Fiction,
204,5,Oceania -- Fiction,
206,5,Canada -- History -- To 1763 (New France) -- Fiction,
226,5,"Thirty Years' War, 1618-1648",
236,5,"Ballads, English -- Texts",
252,5,Fiction,
286,5,"Cooking, American",
290,5,American wit and humor -- Periodicals,
322,5,Popular literature -- Great Britain -- Periodicals,
323,5,Popular literature -- Great Britain -- Periodicals,
361,5,English wit and humor -- Periodicals,
364,5,Popular literature -- Great Britain -- Periodicals,
562,5,Fiction,
621,5,Questions and answers -- Periodicals,
691,5,Periodicals,
24,4,French fiction -- Translations into English,
35,4,"English poetry -- Early modern, 1500-1700",
38,4,Science -- History,
41,4,French fiction -- Translations into English,
42,4,English essays,
62,4,English drama,1
88,4,American drama -- 20th century,
108,4,Villages -- France -- Fiction,
109,4,Paris (France) -- Fiction,
116,4,Paris (France) -- Fiction,
135,4,English fiction -- 19th century,
142,4,"Motley, John Lothrop, 1814-1877",
146,4,English poetry,
188,4,"Great Britain -- History -- Civil War, 1642-1649 -- Fiction",
205,4,Canadian fiction,
212,4,Canadian poetry,
228,4,Poetry,
280,4,English poetry,
318,4,Popular literature -- Great Britain -- Periodicals,
336,4,Popular literature -- Great Britain -- Periodicals,
345,4,Popular literature -- Great Britain -- Periodicals,
347,4,Popular literature -- Great Britain -- Periodicals,
348,4,Popular literature -- Great Britain -- Periodicals,
359,4,English wit and humor -- Periodicals,
401,4,Catholic Church -- Catechisms -- English,
421,4,"Epic literature, Sanskrit",
423,4,Questions and answers -- Periodicals,
425,4,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
429,4,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
461,4,English periodicals,
482,4,Questions and answers -- Periodicals,
486,4,Science fiction,
504,4,Fiction,
507,4,England -- Social life and customs -- 19th century -- Fiction,1
586,4,"Children's poetry, English",
587,4,Science fiction,
592,4,Biography,
599,4,Questions and answers -- Periodicals,
768,4,English wit and humor -- Periodicals,
845,4,Fiction,
863,4,Questions and answers -- Periodicals,
864,4,Plotinus,
909,4,Periodicals,
50,3,"France -- History -- Revolution, 1789-1799",
52,3,Mathematics,
60,3,English drama,1
63,3,English drama,1
72,3,American fiction -- 19th century,
73,3,Essays,
74,3,Essays,
124,3,English fiction -- 19th century,1
125,3,English fiction -- 19th century,1
134,3,English fiction -- 19th century,1
150,3,"Leonardo, da Vinci, 1452-1519 -- Notebooks, sketchbooks, etc.",
155,3,Finnish poetry -- Translations into English,
195,3,English essays,
203,3,Canadian fiction,
213,3,"Love poetry, Canadian",
218,3,"Rome -- History -- Empire, 30 B.C.-284 A.D.",
223,3,Ireland -- History,
237,3,Quotations,
259,3,Normandy (France) -- Description and travel,
266,3,Bible. John,
275,3,Slavery -- United States -- Poetry,
284,3,Popular literature -- Great Britain -- Periodicals,
287,3,American wit and humor -- Periodicals,
291,3,Death -- Fiction,
294,3,American wit and humor -- Periodicals,
300,3,History,
304,3,History,
312,3,American periodicals,
313,3,Popular literature -- Great Britain -- Periodicals,1
316,3,Popular literature -- Great Britain -- Periodicals,1
317,3,Popular literature -- Great Britain -- Periodicals,1
327,3,Popular literature -- Great Britain -- Periodicals,1
338,3,Popular literature -- Great Britain -- Periodicals,1
340,3,Science -- Periodicals,
341,3,Questions and answers -- Periodicals,
344,3,Science -- Periodicals,
358,3,American periodicals,
362,3,Popular literature -- Great Britain -- Periodicals,1
366,3,Popular literature -- Great Britain -- Periodicals,1
367,3,Popular literature -- Great Britain -- Periodicals,1
369,3,English wit and humor -- Periodicals,
371,3,Popular literature -- Great Britain -- Periodicals,
412,3,Science -- Periodicals,
415,3,Fiction,
419,3,English wit and humor -- Periodicals,
422,3,"World War, 1914-1918",
432,3,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
454,3,Egypt -- History,
455,3,"Guitar music, Arranged",
471,3,Bahai Faith,
488,3,Indians of North America -- Folklore,
493,3,Love stories,
535,3,New England -- Social life and customs -- Fiction,1
537,3,Fiction,
540,3,Short stories,
542,3,Short stories,
552,3,Manners and customs -- Fiction,
594,3,Adventure and adventurers -- Fiction,
603,3,Ranches -- Juvenile fiction,
607,3,Encyclopedias and dictionaries,
623,3,Erotic stories,
632,3,Indexes,
636,3,Indexes,
638,3,English poetry -- 19th century,
648,3,Mysticism,
659,3,Free thought,
660,3,Free thought,
669,3,Architecture -- Italy -- Venice,
690,3,Fiction,
695,3,English poetry,
717,3,German fiction -- Translations into English,
727,3,Encyclopedias and dictionaries,
732,3,Canadian poetry,
739,3,Fiction,
746,3,German fiction -- Translations into English,
751,3,German fiction -- Translations into English,
752,3,Fiction,
755,3,Mystery fiction,
760,3,Encyclopedias and dictionaries,
762,3,Farm life -- Fiction,
765,3,Social classes -- England -- Fiction,
775,3,"Denmark -- History -- Erik Menved, 1286-1319 -- Fiction",
777,3,England -- Social conditions -- 19th century -- Fiction,1
778,3,Germany -- Description and travel,
785,3,Esperanto -- Periodicals,
793,3,Families -- Fiction,
801,3,Fiction,
811,3,"Guise, Henri, duc de, 1550-1588 -- Fiction",
816,3,Canadian poetry,
817,3,Esperanto -- Periodicals,
823,3,England -- Social life and customs -- Fiction,1
825,3,Canada -- Fiction,
828,3,Fiction,
829,3,Fiction,
833,3,Fiction,
846,3,Fiction,
847,3,Fiction,
850,3,English poetry,
852,3,Questions and answers -- Periodicals,
857,3,Fiction,
858,3,Fiction,
861,3,Fiction,
866,3,Scotland -- Social life and customs -- Fiction,
868,3,Central America -- Fiction,
870,3,"Mozart, Wolfgang Amadeus, 1756-1791",
871,3,Scotland -- Social life and customs -- Fiction,
873,3,"Beethoven, Ludwig van, 1770-1827",
876,3,History -- Periodicals,
877,3,Yachting -- Fiction,
880,3,Animals -- Pictorial work,
882,3,"Richelieu, Armand Jean du Plessis, duc de, 1585-1642 -- Fiction",
884,3,"Children's periodicals, American",
886,3,"English wit and humor, Pictorial",
887,3,English wit and humor -- Periodicals,
892,3,"Children's periodicals, American",
896,3,Fiction,
904,3,English wit and humor -- Periodicals,
905,3,English wit and humor -- Periodicals,
0,2,Fantasy,
1,2,Internet,
2,2,Frontier and pioneer life -- Australia -- Poetry,
3,2,England -- Fiction,1
4,2,English language -- Dictionaries,
5,2,Storytelling,
6,2,Man-woman relationships -- Fiction,
7,2,Reformers,
8,2,Science fiction,
9,2,Mathematical constants,
11,2,Short stories,
12,2,Ethics,
13,2,English poetry,
14,2,"Horror tales, American",
15,2,Historical drama,
16,2,Classical literature,
17,2,Ireland -- Drama,
18,2,American poetry,
19,2,"France -- History -- Louis XIV, 1643-1715 -- Fiction",
20,2,"Swift, Tom (Fictitious character) -- Juvenile fiction",
21,2,French fiction -- Translations into English,
22,2,French fiction -- Translations into English,
23,2,English fiction -- 19th century,
25,2,French fiction -- Translations into English,
26,2,French fiction -- Translations into English,
27,2,French fiction -- Translations into English,
28,2,Readers,
29,2,Aggada -- Translations into English,
30,2,History,
31,2,"Great Britain -- History -- Henry VI, 1422-1461 -- Drama",
32,2,Historical drama,
33,2,Poetry,
34,2,Rejection (Psychology) -- Drama,
36,2,Poetry,
37,2,Classical literature,
39,2,French fiction -- Translations into English,
40,2,English poetry,
43,2,English poetry -- 19th century,
44,2,Dogs -- Juvenile fiction,
45,2,"Balzac, Honoré de, 1799-1850. Comédie humaine",
46,2,England -- Social life and customs -- 19th century -- Fiction,1
47,2,England -- Social life and customs -- 19th century -- Fiction,1
48,2,Short stories,
49,2,England -- Social life and customs -- 19th century -- Fiction,1
51,2,France -- Social life and customs -- 19th century,
53,2,American fiction -- 19th century,
54,2,"Lincoln-Douglas Debates, Ill., 1858",
55,2,American poetry,
56,2,London (England) -- Social life and customs -- 19th century -- Fiction,
58,2,Fantasy fiction,
59,2,English drama,1
61,2,English drama,1
64,2,Evolution (Biology),
65,2,Science,
66,2,American essays -- 19th century,
67,2,"Humorists, American -- 19th century -- Biography",
68,2,"Twain, Mark, 1835-1910",
69,2,"Humorists, American -- 19th century -- Biography",
70,2,Kentucky -- Fiction,
75,2,Essays,
76,2,English poetry,
77,2,Detective and mystery stories,
79,2,English language -- Dictionaries -- German,
80,2,German language -- Dictionaries -- English,
81,2,English language -- Dictionaries -- German,
82,2,German language -- Dictionaries -- English,
83,2,English language -- Dictionaries -- German,
84,2,German language -- Dictionaries -- English,
85,2,English language -- Dictionaries -- German,
87,2,German language -- Dictionaries -- English,
89,2,"France -- History -- Louis Philippe, 1830-1848 -- Fiction",
90,2,Wandering Jew -- Fiction,
92,2,Short stories,
93,2,Essays,
94,2,American drama -- 19th century,
95,2,English drama (Comedy),
96,2,"Wairy, Louis Constant, 1778-1845",
98,2,English drama (Comedy),
99,2,Quotations,
100,2,England -- Fiction,
101,2,France -- Court and courtiers,
102,2,"France -- History -- Louis XIV, 1643-1715",
103,2,France -- Court and courtiers,
104,2,"France -- History -- Louis XIV, 1643-1715",
105,2,France -- Court and courtiers,
106,2,"France -- History -- Louis XIV, 1643-1715",
110,2,France -- Social life and customs -- 19th century -- Fiction,
111,2,Love stories,
117,2,Mayflower (Ship),
118,2,America -- Discovery and exploration,
119,2,"Columbus, Christopher",
120,2,America -- Discovery and exploration,
121,2,"Columbus, Christopher",
122,2,America -- Discovery and exploration,
123,2,Copyright -- United States,
126,2,Corn laws (Great Britain),
127,2,Mental health,
129,2,English fiction -- 19th century,1
132,2,English fiction -- 19th century,1
136,2,English fiction -- 19th century,1
137,2,American fiction -- 19th century,
138,2,Arabian Peninsula -- Description and travel,
139,2,Narcissism,
140,2,Poetry,
141,2,"Pontiac's Conspiracy, 1763-1765 -- Fiction",
143,2,French drama -- 18th century -- Translations into English,
144,2,English drama,
145,2,Fiction,
148,2,"Pontiac's Conspiracy, 1763-1765 -- Fiction",
149,2,Animals -- Juvenile fiction,
152,2,Pragmatism,
153,2,New York (N.Y.) -- Fiction,
154,2,Detective and mystery stories,
158,2,Egypt -- History -- To 332 B.C. -- Fiction,
159,2,German fiction -- Translations into English,
160,2,Egypt -- History -- To 332 B.C. -- Fiction,
161,2,German fiction -- Translations into English,
162,2,Egypt -- History -- To 332 B.C. -- Fiction,
163,2,German fiction -- Translations into English,
164,2,Egypt -- History -- To 332 B.C. -- Fiction,
165,2,German fiction -- Translations into English,
166,2,Egypt -- History -- To 332 B.C. -- Fiction,
167,2,German fiction -- Translations into English,
168,2,Egypt -- History -- To 332 B.C. -- Fiction,
169,2,German fiction -- Translations into English,
170,2,Egypt -- History -- To 332 B.C. -- Fiction,
171,2,German fiction -- Translations into English,
172,2,Church history -- 4th century -- Fiction,
173,2,German fiction -- Translations into English,
174,2,German fiction -- Translations into English,
175,2,Nuremberg (Germany) -- Fiction,
176,2,German fiction -- Translations into English,
177,2,Nuremberg (Germany) -- Fiction,
178,2,German fiction -- Translations into English,
179,2,Nuremberg (Germany) -- Fiction,
180,2,German fiction -- Translations into English,
181,2,Nuremberg (Germany) -- Fiction,
182,2,German fiction -- Translations into English,
183,2,German fiction -- Translations into English,
184,2,German fiction -- Translations into English,
187,2,Fiction,
189,2,Generals -- United States -- Biography,
190,2,"Short stories, English",
191,2,Horsemanship -- Juvenile fiction,
192,2,England -- Fiction,1
193,2,English essays,
196,2,"Canada, Northern -- Fiction",
197,2,"Short stories, Canadian",
198,2,"Canada, Northern -- Fiction",
199,2,"Short stories, Canadian",
200,2,"Canada, Northern -- Fiction",
201,2,"Short stories, Canadian",
202,2,"Canada, Northern -- Fiction",
208,2,Canadian fiction,
209,2,Short stories,
217,2,Copyright -- United States -- Catalogs,
219,2,Copyright -- United States -- Catalogs,
222,2,American poetry,
224,2,Humorous stories,
225,2,Witchcraft -- Pomerania (Poland and Germany),
227,2,"Wallenstein, Albrecht Wenzel Eusebius von, Herzog von Friedland, 1583-1634 -- Drama",
229,2,"United States -- History -- Civil War, 1861-1865",
230,2,Canadian poetry,
231,2,"Rob Roy, 1671-1734 -- Fiction",
232,2,Britons -- Fiction,
233,2,Knights and knighthood -- Fiction,
234,2,Knights and knighthood -- Fiction,
246,2,English fiction -- 19th century,1
247,2,Paris (France) -- Social life and customs -- 19th century -- Fiction,
248,2,English fiction -- 19th century,1
249,2,Paris (France) -- Social life and customs -- 19th century -- Fiction,
250,2,English fiction -- 19th century,1
253,2,Short stories,
254,2,Science -- Periodicals,
255,2,"Fantasy fiction, English",
256,2,Science -- Periodicals,
257,2,Mishnah. Avot,
258,2,Fiction,
261,2,Science -- Periodicals,
262,2,Bible. Corinthians,
263,2,Bible. Thessalonians,
264,2,Bible. Timothy,
265,2,Bible. Peter,
267,2,Country life -- Poetry,
268,2,Catholics -- Fiction,
269,2,Short stories,
270,2,Short stories,
272,2,Religious fiction,
